Name,Likelihood,Duplication,Loss,Transfer
group_11098,-50.6871,1e-07,0.347887,0.453336
group_2374_2,-29.1269,0.1,0.2,0.1
hin_3_2,-37.7583,1e-07,0.199099,0.26952
group_4202,-21.7414,1e-07,0.252297,0.10387
group_12409,-38.8703,1e-07,0.38302,0.444895
group_2637,-14.2107,1e-07,0.251857,0.524402
group_5001_4,-22.8447,1e-07,0.489223,0.283963
group_728_5,-26.9058,1e-07,0.331597,0.464219
group_4716_16,-15.2407,0.1,0.2,0.1
mngA,-53.0373,1e-07,0.244878,0.0449309
pepT,-127.402,1e-07,0.261948,0.0931144
group_15506,-19.2528,1e-07,0.71333,1
group_6425_1,-19.3578,1e-07,0.603261,1
group_3656_1,-33.8571,1e-07,0.206414,0.523363
group_10868,-14.243,1e-07,0.218966,0.533486
group_5979_2,-16.5137,1e-07,0.304368,0.121157
group_4156,-31.5443,1e-07,0.287159,0.235953
group_5183_3,-18.4907,1e-07,0.449719,0.375634
ynbA,-128.712,1e-07,0.275112,0.135903
group_694_5,-166.335,1e-07,0.276993,0.174967
group_1005_1,-209.509,1e-07,0.284148,0.222409
group_2559,-19.4457,1e-07,0.242957,0.253159
group_49_1,-131.811,1e-07,0.249162,0.516097
group_4206,-22.2987,1e-07,0.559846,1e-07
group_1328_8,-27.5073,1e-07,0.176325,0.533103
group_4081_2,-50.7764,1e-07,0.231097,0.506305
group_1866,-14.2125,1e-07,0.227084,0.532053
group_12865,-49.5984,1e-07,0.536935,1
group_8185_1,-21.565,0.118901,0.20785,0.295965
group_2528,-53.3252,1e-07,0.245263,0.506731
parE4,-21.6743,1e-07,0.217713,0.239234
mgtA,-197.246,1e-07,0.213097,0.492044
dppC,-101.574,1e-07,0.205041,0.0645171
group_942_1,-22.6879,1e-07,0.272595,0.037655
group_3563_2,-44.2823,1e-07,0.41749,0.403713
group_4243,-36.0977,1e-07,0.225149,0.130048
group_7457,-13.8992,1e-07,0.377236,0.452952
group_3474_6,-93.9086,1e-07,0.248798,0.23175
gltD_2_1,-153.787,1e-07,0.21516,0.198723
group_3414_3,-11.0827,0.1,0.2,0.1
atsA_1,-48.8395,1e-07,0.173123,0.216502
group_6015_2,-14.1699,1e-07,0.243222,0.528328
group_2704,-29.6156,1e-07,0.550471,1
dctB,-44.5671,1e-07,0.300543,0.104106
group_2232,-29.5193,1e-07,0.699488,1
group_9218,-28.99,1e-07,0.388458,0.442828
ipgC,-9.84565,0.1,0.2,0.1
group_4309_3,-14.1058,1e-07,0.327158,0.484395
group_6022,-21.2189,1e-07,0.218538,0.513227
group_4666_1,-21.8357,1e-07,0.508985,1e-07
yciF,-101.69,1e-07,0.194885,0.0956184
recN,-138.378,1e-07,0.257261,0.108715
cheZ,-115.555,1e-07,0.214629,0.101945
group_2210,-41.4972,1e-07,0.248693,0.518139
group_3752_12,-29.2901,1e-07,0.265456,0.523076
group_4808,-40.3111,1e-07,0.322602,0.478968
group_879_3,-17.5874,0.00491649,0.235586,0.268861
group_4168_1,-21.2817,1e-07,0.291329,0.22063
group_6055_2,-27.1549,1e-07,0.320628,0.482094
papC_2_2,-5.89894,0.1,0.2,0.1
ompN_2,-16.1349,1e-07,0.247798,0.0834196
group_2622_1,-38.7335,0.170309,0.162877,0.546293
group_3464,-53.9136,1e-07,0.233036,0.258592
group_3753_7,-156.367,1e-07,0.292237,0.185737
icsA_2_1,-74.847,1e-07,0.298748,0.16638
entS,-153.782,1e-07,0.194557,0.240576
group_1909_3,-45.3194,1e-07,0.222815,0.525671
mmuM,-24.4221,1e-07,0.481611,1e-07
group_4019_2,-14.1817,1e-07,0.255255,0.523767
yrfF,-108.528,1e-07,0.168081,0.181729
group_29_2,-28.3511,1e-07,0.23703,0.522345
group_7476,-18.9636,1e-07,0.464729,0.35088
yagE,-29.1287,1e-07,0.352735,0.42905
group_7921,-20.6195,0.1,0.2,0.1
group_4899,-33.5789,1e-07,0.180108,0.0182229
group_4253_3,-10.3396,0.1,0.2,0.1
group_4529,-30.7117,1e-07,0.232588,0.525926
cytR_3,-29.1322,1e-07,0.465224,0.0228139
group_4208_3,-98.1032,1e-07,0.267359,0.517108
galE_1,-12.9537,0.1,0.2,0.1
group_6500,-157.532,1e-07,0.297468,0.183012
group_5467_1,-58.0468,1e-07,0.299879,0.499856
glcR_2,-78.354,1e-07,0.14512,0.0949753
hosA,-53.1631,1e-07,0.169294,0.0677678
group_291,-156.672,1e-07,0.236385,0.522317
ant1,-144.786,1e-07,0.42998,0.421098
group_6148_4,-25.7731,1e-07,0.233155,0.521195
group_2889_4,-41.6864,1e-07,0.252954,0.507063
scpC,-130.21,1e-07,0.202016,0.281881
group_6536,-50.2419,1e-07,0.217639,0.520754
group_7145_3,-25.9405,1e-07,0.537405,1e-07
group_1494,-65.6946,1e-07,0.25512,0.515373
group_5569_1,-20.5184,1e-07,0.216696,0.520978
ecoRIR,-33.9499,1e-07,0.29502,0.506723
group_4560_7,-57.7418,1e-07,0.404188,0.419241
group_3623,-17.6803,0.00663722,0.229702,0.270946
group_7281_1,-32.1817,1e-07,0.377967,0.42348
group_934_2,-144.922,1e-07,0.449004,0.276957
group_6955_3,-30.9462,1e-07,0.50507,0.192006
group_4208_7,-142.737,1e-07,0.194298,0.532248
mhpB,-110.859,1e-07,0.254108,0.175964
group_2358_4,-30.4131,1e-07,0.329089,0.475899
group_6961_1,-29.5881,1e-07,0.579048,1
papD_2,-32.8349,1e-07,0.0831784,0.0417545
group_9693,-14.2423,1e-07,0.219456,0.533402
group_1104_1,-96.2525,1e-07,0.39839,0.408229
vsr_2,-12.9555,0.1,0.2,0.1
udp,-112.28,1e-07,0.185154,0.15318
group_1492_3,-37.7079,1e-07,0.236479,0.523858
group_3882_6,-86.6593,1e-07,0.40881,0.41431
group_6022_8,-13.093,1e-07,0.454176,0.335782
group_6054_2,-81.3572,1e-07,0.244073,0.522712
group_2345_1,-14.1715,1e-07,0.242087,0.528627
group_11276,-14.7585,0.1,0.2,0.1
group_1478,-77.3914,1e-07,0.270701,0.224623
stpA_2_1,-49.5565,1e-07,0.514885,0.0901719
group_5079,-23.4219,1e-07,0.481587,0.298263
group_5740_5,-38.6371,1e-07,0.220833,0.259802
group_4019,-24.4328,1e-07,0.625387,1
group_1579,-88.5602,1e-07,0.265871,0.225607
group_2945,-62.2261,1e-07,0.170001,0.505605
group_8859,-33.3675,1e-07,0.222238,0.529632
group_931_2,-149.571,1e-07,0.277405,0.511134
group_1989,-19.3941,1e-07,0.250077,0.528228
traJ_2,-41.2137,1e-07,0.312892,0.475905
yecS_2,-108.916,1e-07,0.255912,0.0605632
group_5994,-32.8663,1e-07,0.225898,0.528918
group_9388,-27.3992,1e-07,0.275244,0.50585
group_6905_1,-81.4004,1e-07,0.266181,0.511721
yhaJ_1,-119.933,1e-07,0.210342,0.103205
rpsL,-54.2351,1e-07,0.0493325,0.0415027
group_2718_2,-23.887,1e-07,0.692534,1
group_4388_1,-37.3666,1e-07,0.204346,0.157515
group_10524,-56.3618,1e-07,0.477976,0.192722
group_7867_4,-219.929,0.0856132,0.213677,0.45335
gnd,-227.847,1e-07,0.254107,0.519135
group_3672_2,-20.5366,1e-07,0.210825,0.52281
rpoA,-84.9263,1e-07,0.277767,0.0462783
group_10350,-41.7273,1e-07,0.454158,0.350983
group_7633,-9.94097,0.1,0.2,0.1
mhpT,-99.7375,1e-07,0.148173,0.145138
group_2045_1,-16.6031,1e-07,0.154909,0.518713
pinR,-68.4863,1e-07,0.290806,0.502922
group_1832,-45.097,1e-07,0.442222,0.317469
ychF,-98.7191,1e-07,0.131571,0.115202
group_13091,-14.207,1e-07,0.229473,0.531602
group_3843,-35.3387,1e-07,0.225372,0.24846
group_3385_4,-76.1071,1e-07,0.210656,0.530538
group_4313_8,-72.9215,1e-07,0.237835,0.52183
group_7701_1,-14.1734,1e-07,0.260288,0.522178
group_5328_1,-14.2094,1e-07,0.229346,0.531586
group_5196_3,-14.0106,1e-07,0.352534,0.469642
group_2166_2,-65.3651,1e-07,0.202469,0.266893
group_5974,-21.1871,1e-07,0.241249,0.504915
yhdJ_2,-217.168,1e-07,0.228526,0.531494
group_6691,-44.4139,1e-07,0.258693,0.226388
gadX_1,-82.0472,1e-07,0.196743,0.0614624
psuG_2,-39.9307,1e-07,0.516198,0.0425391
group_7344_2,-19.3971,1e-07,0.4995,1
group_4944_1,-29.2618,1e-07,0.496626,0.22491
mntS,-41.8466,0.000193938,0.138173,0.00999822
group_4062,-24.4799,1e-07,0.538286,1
group_5031,-34.1446,1e-07,0.360251,0.468158
group_7085,-34.1472,1e-07,0.360723,0.467806
phnN,-103.143,1e-07,0.195079,0.0698822
group_11904,-15.261,0.1,0.2,0.1
group_6291_1,-72.6288,1e-07,0.256015,0.520064
group_6262,-18.7194,1e-07,0.3123,0.499717
srlR_6,-70.5538,1e-07,0.448501,0.283087
mepS_1,-101.557,1e-07,0.193732,0.0721546
group_5486_2,-19.2933,1e-07,0.623326,1
hyfG,-85.7867,1e-07,0.212769,0.134414
group_4950_4,-33.372,1e-07,0.228179,0.22568
group_9203,-14.2439,1e-07,0.218136,0.533649
group_4967_4,-17.5807,0.0039703,0.23705,0.268009
tehA,-111.211,1e-07,0.24149,0.109649
group_13674,-19.3192,1e-07,0.587879,1
group_3303,-22.2987,1e-07,0.559846,1e-07
phoU,-91.167,1e-07,0.147793,0.0886129
group_3700,-19.3156,1e-07,0.580175,1
group_9944,-14.2478,1e-07,0.216472,0.533904
group_3941_4,-29.9354,1e-07,0.282214,0.224603
group_4713,-126.729,1e-07,0.244555,0.14013
group_6546,-23.0059,1e-07,0.457415,0.336373
acuI_2,-41.968,1e-07,0.263073,0.157592
group_9963,-64.0789,1e-07,0.257259,0.519817
group_40_2,-412.41,1e-07,0.208673,0.470294
group_14_4,-15.3057,1e-07,0.192218,0.513125
iolG,-161.892,1e-07,0.240812,0.243577
group_6721_1,-11.085,0.1,0.2,0.1
group_1879,-36.4281,1e-07,0.471431,0.137841
group_5310,-108.668,1e-07,0.20456,0.0975089
group_8020_1,-17.2027,1e-07,0.360037,1e-07
group_3841_2,-17.2063,1e-07,0.15486,0.0180315
group_2879_1,-15.3034,1e-07,0.194352,0.51273
group_2401,-65.165,1e-07,0.203936,0.160202
trg_2_1,-11.7517,0.1,0.2,0.1
group_3949,-19.3822,1e-07,0.530574,1
yafQ,-14.2424,1e-07,0.219412,0.53341
group_9342_2,-60.3428,1e-07,0.35871,0.420951
group_3873_6,-23.471,1e-07,0.217412,0.522629
group_1771,-34.4451,1e-07,0.479157,0.268818
group_1085_1,-19.3547,1e-07,0.59193,1
group_5938_6,-20.2205,1e-07,0.51207,0.117102
coaD,-130.564,1e-07,0.178382,0.116792
group_1975_4,-22.2342,1e-07,0.414178,0.365513
group_3135,-23.983,1e-07,1,1
group_575_1,-52.3104,1e-07,0.138377,0.178753
group_4717_4,-38.398,1e-07,0.214114,0.533344
group_2365_1,-89.5616,1e-07,0.279313,0.514939
group_3620_4,-50.7957,1e-07,0.291805,0.483012
pstS,-128.185,1e-07,0.218361,0.101064
group_1072,-20.7074,1e-07,0.23118,0.261158
group_2978_6,-14.1845,1e-07,0.254715,0.523767
group_9255_1,-78.8126,0.0436551,0.22771,0.197014
group_7255_2,-14.2393,1e-07,0.223454,0.532486
rlpA,-100.888,1e-07,0.137109,0.131293
group_6409_7,-32.6215,1e-07,0.530521,0.104573
group_1910_2,-10.0101,0.1,0.2,0.1
group_9413,-21.6069,1e-07,0.245205,0.19202
rpe_2_1,-21.3861,1e-07,0.527418,0.175756
group_1217_2,-116.663,1e-07,0.269783,0.113877
group_11896,-56.5146,1e-07,0.323784,0.455288
group_4242_1,-12.9613,0.1,0.2,0.1
yhcO,-86.9575,1e-07,0.218658,0.0263457
group_986_1,-29.3557,1e-07,0.775666,1
yqeG,-111.95,1e-07,0.196028,0.109232
group_5669,-18.8188,1e-07,0.407696,0.422534
group_6013_3,-141.522,1e-07,0.205813,0.211646
group_2068_6,-21.5771,1e-07,0.12311,0.152933
group_4908,-38.7709,1e-07,0.313332,0.495555
ybaB,-89.5392,1e-07,0.224465,0.0570621
group_7976,-60.3337,1e-07,0.500029,0.198509
group_5829,-41.915,1e-07,0.385206,0.431454
group_66_7,-5.89894,0.1,0.2,0.1
group_3382_1,-62.8983,1e-07,0.313658,0.138617
arsD_2,-14.2125,1e-07,0.227122,0.532039
group_1749,-26.2627,1e-07,0.226979,0.228231
group_3252,-39.0781,1e-07,0.626068,1
group_5400_1,-14.2006,1e-07,0.235577,0.530087
chbG,-148.9,1e-07,0.281149,0.150189
group_1560_3,-18.651,1e-07,0.342865,0.482247
group_6075,-71.1743,1e-07,0.285893,0.503745
dgcZ_1_1,-105.326,1e-07,0.206701,0.130425
group_4324_1,-15.2884,0.1,0.2,0.1
group_2622_2,-27.4455,1e-07,0.243486,0.521178
group_1210_2,-16.9641,1e-07,0.180474,0.181938
group_6117_2,-52.3946,1e-07,0.195317,0.101039
group_6613,-19.266,1e-07,0.628894,1
group_7330_2,-19.7889,1e-07,0.394487,0.380932
group_9857,-13.9375,1e-07,0.368805,0.458669
group_9260_1,-56.4554,1e-07,0.260113,0.195842
group_2835,-19.3791,1e-07,0.524862,1
rhtA,-73.5015,1e-07,0.0615419,0.0656779
group_2587_5,-85.8666,1e-07,0.260866,0.0698011
group_5280,-49.0689,1e-07,0.31264,0.129339
group_5292,-58.2923,1e-07,0.134498,0.0438238
queC,-72.2232,1e-07,0.10722,0.104646
group_4200_2,-115.81,1e-07,0.353467,0.448492
group_6941_2,-19.3127,1e-07,0.590632,1
group_5034_4,-72.8387,1e-07,0.13786,0.0849282
group_6174,-14.2061,1e-07,0.233174,0.530585
group_7346_2,-58.1329,1e-07,0.228548,0.257794
group_7353,-53.9273,1e-07,0.283644,0.213569
artQ,-71.807,1e-07,0.14681,0.0415243
group_3382,-99.0571,1e-07,0.42685,0.41152
group_4605,-41.6087,1e-07,0.448738,0.358221
group_3666,-68.0824,1e-07,0.22069,0.516459
group_359_1,-22.6603,1e-07,0.153737,0.530559
group_6853,-23.4872,1e-07,0.303959,0.498846
group_6105_8,-61.5255,1e-07,0.221346,0.529508
virB4_1,-42.7603,1e-07,0.231494,0.52405
group_1232,-92.3906,1e-07,0.515171,0.164209
group_2638_1,-33.1444,1e-07,0.20726,0.266433
group_14058,-14.2061,1e-07,0.233174,0.530585
pspC,-72.0114,1e-07,0.168671,0.0336239
group_5571_1,-18.4993,1e-07,0.466294,0.190392
group_5442_3,-50.2135,1e-07,0.283297,0.499576
dsbB,-95.3469,1e-07,0.202236,0.0488968
group_5018_1,-18.7701,1e-07,0.311827,0.499306
rnt,-108.548,1e-07,0.213762,0.101973
group_2480,-75.4106,1e-07,0.394268,0.425458
group_1804_6,-16.4016,1e-07,0.209165,0.197596
yusV_2,-17.0118,1e-07,0.266699,0.135334
group_3056_1,-14.2441,1e-07,0.217922,0.533687
group_4400_2,-89.0862,1e-07,0.152306,0.0782322
fliC1,-60.3219,1e-07,0.519818,0.380644
group_1481_5,-12.3174,1e-07,0.236377,1e-07
group_5294_5,-38.0003,1e-07,0.230534,0.246104
group_5258_10,-115.324,1e-07,0.198244,0.529351
group_7027_2,-14.2423,1e-07,0.21952,0.533391
group_4615_1,-26.3122,1e-07,0.243695,0.491367
iscX,-111.084,1e-07,0.279915,0.0485552
group_816_2,-61.2836,1e-07,0.201763,0.0470281
nadD,-117.771,1e-07,0.236676,0.0915747
group_6061,-14.2377,1e-07,0.221508,0.533075
hin_2_1_1,-94.4383,1e-07,0.466357,0.248488
ribD,-127.936,1e-07,0.144702,0.140735
group_2036,-9.84565,0.1,0.2,0.1
group_1517_1,-22.9394,1e-07,0.0325532,0.0462537
group_3994_3,-14.2449,1e-07,0.217304,0.533792
lpoB,-114.381,1e-07,0.24507,0.0668853
group_6114,-147.234,1e-07,0.251401,0.161647
argO,-158.572,1e-07,0.230119,0.20832
wzxE_1_1,-20.2205,1e-07,0.51207,0.117102
group_4235_2,-20.4759,1e-07,0.0583818,0.038999
hsdS,-22.9245,1e-07,0.440364,0.129176
ynaI,-123.51,1e-07,0.20382,0.145423
group_1777_4,-29.9361,1e-07,0.258246,0.506741
cdiA4_2_1,-19.231,1e-07,0.677243,1
group_389,-39.0382,1e-07,0.291411,0.503701
group_1309,-14.2109,1e-07,0.228442,0.531756
group_1502_1,-43.0625,1e-07,0.490828,0.210609
pifC_1_1_1,-14.0116,1e-07,0.363664,0.460599
iscS,-126.502,1e-07,0.21422,0.15783
group_474,-14.2204,1e-07,0.24462,0.526452
group_2637_4,-47.8,1e-07,0.220994,0.532136
ubiH,-162.986,1e-07,0.22734,0.226787
fucA_2,-69.3214,1e-07,0.305576,0.176046
group_7732_1,-23.928,1e-07,0.533182,0.0283595
group_6976_2,-25.5927,1e-07,0.318556,0.0613295
group_5730,-35.3028,1e-07,0.521584,0.123013
cspA,-29.2811,1e-07,0.0520339,0.0105204
group_575_3,-30.0594,1e-07,0.177579,0.0778763
group_6215_1,-79.1499,1e-07,0.28677,0.16007
moaC,-63.7747,1e-07,0.161403,0.0852884
trmB,-161.511,1e-07,0.286494,0.185672
garL,-80.0283,1e-07,0.156108,0.0768219
group_9761,-33.8127,1e-07,0.231045,0.526181
group_5116_1,-22.6804,1e-07,0.477531,0.172019
group_5573,-36.0584,1e-07,0.256999,0.523522
group_1586_1,-12.951,0.1,0.2,0.1
group_7032_2,-15.0618,1e-07,0.18529,0.514571
group_7979,-15.261,0.1,0.2,0.1
group_4300_6,-141.403,1e-07,0.255604,0.517952
group_7076_1,-15.0933,0.1,0.2,0.1
pspB_2,-70.2507,1e-07,0.0713788,0.0947022
group_2988_3,-23.7858,1e-07,0.443635,0.358083
imm_2,-33.0603,1e-07,0.549747,0.178486
group_10976,-11.0606,0.1,0.2,0.1
group_2364_7,-93.3176,1e-07,0.244199,0.519186
ykgO,-83.2678,1e-07,0.181397,0.101074
group_5461_5,-33.9224,0.00124665,0.23117,0.267623
appY_3,-26.5217,1e-07,0.241419,0.262398
group_2897_1,-19.3371,1e-07,0.553193,1
queD,-125.773,1e-07,0.257789,0.0875645
group_3551_4,-34.2396,1e-07,0.271961,0.124962
deoR_2_1,-62.6747,1e-07,0.325316,0.0707812
group_4747,-72.4643,1e-07,0.301478,0.49663
group_4643,-14.1782,1e-07,0.255677,0.523698
group_2728_1,-39.7021,1e-07,0.192299,0.152596
lrp,-36.8842,1e-07,0.117364,0.0444098
group_559,-20.2205,1e-07,0.51207,0.117102
group_6497,-14.6488,0.1,0.2,0.1
yafJ,-135.767,1e-07,0.218876,0.19558
group_3520,-25.7851,1e-07,0.205611,0.529367
wbnK_1,-11.7605,0.1,0.2,0.1
group_1588,-21.3838,1e-07,0.54248,0.0818756
group_6791_1,-19.3826,1e-07,0.52347,1
group_285_9,-95.6584,1e-07,0.307315,0.190547
nirC,-127.016,1e-07,0.167188,0.18332
xerD_2_2,-121.108,1e-07,0.278289,0.19264
group_658_3,-9.84565,0.1,0.2,0.1
group_5381,-135.472,1e-07,0.328651,0.531977
group_8174_1,-30.1119,1e-07,0.327492,0.476376
group_3885_5,-150.138,1e-07,0.307864,0.132669
group_773_5,-129.544,1e-07,0.298111,0.495617
group_5754,-27.7202,1e-07,0.489597,0.304661
group_3628_3,-33.5923,1e-07,0.375991,0.447044
group_7690_2,-13.9573,1e-07,0.388203,0.441056
group_3816,-14.2125,1e-07,0.227084,0.532053
group_5135_2,-41.6874,1e-07,0.479073,0.156867
group_6932,-24.5152,1e-07,0.540254,1
clpA,-113.747,1e-07,0.190124,0.11242
group_403,-14.2121,1e-07,0.247743,0.525697
group_102_1,-24.4214,1e-07,0.70843,1
group_430_2,-9.84565,0.1,0.2,0.1
group_2682_3,-15.3754,1e-07,0.124631,0.0527757
group_6105_7,-51.6577,1e-07,0.237403,0.521171
group_2421,-51.7131,1e-07,0.314847,0.108344
group_7482_3,-14.0704,1e-07,0.291736,0.511138
higB-2_1_1,-48.8403,1e-07,0.285938,0.129461
repB_1_1_1,-34.112,1e-07,0.358704,0.469436
group_5485,-28.9831,1e-07,0.728511,1
group_5707,-18.7447,1e-07,0.328891,0.489368
group_4675_7,-84.7248,1e-07,0.311626,0.170382
group_41_3,-19.3498,1e-07,0.616649,1
group_4418_1,-14.6496,0.1,0.2,0.1
group_2845_7,-59.3755,1e-07,0.299441,0.48973
kpsF,-82.9819,1e-07,0.21844,0.210524
group_3829_1,-22.9013,1e-07,0.508415,1e-07
nucH,-20.2927,1e-07,0.225505,0.517406
group_5037_2,-45.3714,1e-07,0.356878,0.453862
invF_1,-9.84565,0.1,0.2,0.1
group_931_1,-102.266,1e-07,0.220048,0.0605029
group_8417,-14.2112,1e-07,0.227851,0.531905
group_4972,-19.3178,1e-07,0.590463,1
group_6862,-14.2148,1e-07,0.226742,0.532091
sfaS_1_1_1,-14.2204,1e-07,0.24462,0.526452
group_4619_2,-113.557,1e-07,0.277306,0.207952
yihN_1,-34.5954,1e-07,0.305412,0.192914
group_7684_2,-19.3573,1e-07,0.604012,1
group_3510,-39.7024,1e-07,0.499401,0.969413
group_1341_1,-26.1074,1e-07,1e-07,0.199364
group_12211,-33.6657,1e-07,0.265682,0.513268
group_1550_4,-19.2669,1e-07,0.610416,1
group_625_3,-52.2481,1e-07,0.182151,0.274844
mcbA_2,-60.8476,1e-07,0.261153,0.0399326
group_10524_2,-11.0827,0.1,0.2,0.1
group_382,-14.0526,1e-07,0.352049,0.468994
ompC_2,-25.3608,1e-07,0.247856,0.259343
group_4301_8,-11.1098,0.1,0.2,0.1
group_4167,-13.9938,1e-07,0.358123,0.465991
ybhS,-144.111,1e-07,0.212509,0.20336
